startHub,endHub,road_geometry
chocolateBay,sanAntonio,"LINESTRING (-96.621653 28.584268999999992, -96.645065 28.610177999999983, -96.712583 28.616982, -97.000441 28.799220999999996, -97.013588 28.84608500000001, -97.137462 28.96346799999999, -97.177126 29.035351999999993, -97.222477 29.068113000000032, -97.290037 29.093815000000006, -97.294993 29.084180999999983, -97.332668 29.090770000000006, -97.354805 29.083253999999997, -97.44555200000002 29.152215000000005, -97.465925 29.194237, -97.509393 29.202649, -97.568003 29.25251800000002, -97.722354 29.27700499999999, -97.960549 29.226678000000007, -98.029569 29.247535000000024, -98.074192 29.290868000000007, -98.112963 29.354219000000004, -98.28885 29.372092999999975, -98.388447 29.398396999999996, -98.390706 29.423766000000025, -98.495383 29.424529999999994)"
chocolateBay,freeport,"LINESTRING (-96.621653 28.584268999999992, -96.622571 28.595344, -96.631468 28.60655400000001, -96.621827 28.613984999999996, -96.626496 28.620809000000012, -96.621552 28.632467000000005, -96.575528 28.666472000000006, -96.44014 28.73133800000001, -96.392446 28.73968899999999, -96.366402 28.72685900000001, -96.345469 28.762386999999997, -96.284981 28.818776000000003, -96.252222 28.868349000000002, -96.209244 28.870884999999994, -96.19202 28.882741999999986, -96.147296 28.896981000000004, -96.013172 28.984432, -95.939911 28.983047999999997, -95.90455 29.004255000000008, -95.838205 29.06393400000002, -95.772458 29.07268, -95.758912 29.08175100000002, -95.733007 29.08452500000001, -95.691344 29.097477, -95.680214 29.10556900000002, -95.670658 29.124362000000005, -95.653231 29.138068, -95.62835 29.092910999999994, -95.577217 29.060684, -95.566713 29.033438999999998, -95.517803 28.98641000000002, -95.488132 28.984421000000005, -95.44714300000001 28.969748999999997, -95.41057 28.966812999999984, -95.38749 28.94886900000003, -95.363923 28.942394999999998, -95.359698 28.954035999999974)"
theWoodlands,sugarLand,"LINESTRING (-95.504517 30.17364699999998, -95.50962100000001 30.164334999999998, -95.504534 30.143922000000014, -95.506825 30.094947000000012, -95.555645 30.076319000000012, -95.582004 30.05196600000002, -95.613814 30.050076000000004, -95.562799 29.972387000000005, -95.543247 29.956375000000005, -95.547234 29.951811999999997, -95.544624 29.930286000000002, -95.556134 29.921194000000018, -95.549045 29.879175999999998, -95.563958 29.867120999999997, -95.55909700000001 29.660915000000006, -95.601495 29.62223800000002, -95.60285100000002 29.626466999999987, -95.634985 29.619828999999996)"
channelview,laPorte,"LINESTRING (-95.114654 29.776139999999984, -95.114443 29.777, -95.115965 29.777057999999982, -95.116042 29.780794000000007, -95.109065 29.784022999999998, -95.0917 29.789865999999996, -95.067976 29.795142, -95.056849 29.790674000000003, -95.048791 29.789909999999992, -95.022268 29.778816000000013, -95.002819 29.75990699999998, -94.99041900000002 29.752617999999995, -94.987202 29.74676100000001, -94.994482 29.735076999999993, -94.991563 29.726223000000005, -94.992443 29.722400000000007, -94.998983 29.715307000000003, -95.012107 29.70752400000002, -95.026718 29.695766000000006, -95.030215 29.690737000000016, -95.029764 29.66528400000001, -95.01933 29.665777000000006)"
texasCity,chocolateBay,"LINESTRING (-94.917544 29.395026000000016, -95.03114300000001 29.405654999999996, -95.046746 29.392684000000006, -95.104957 29.390733999999988, -95.112913 29.38084399999999, -95.227829 29.42354299999999, -95.291279 29.324830000000002, -95.423175 29.164939000000032, -95.558776 29.142439000000014, -95.647997 29.144588000000006, -95.691561 29.097704000000007, -95.83906 29.063808999999996, -95.939992 28.983012000000016, -96.013727 28.984545000000004, -96.147296 28.896981000000004, -96.208718 28.872031999999994, -96.252222 28.868349000000002, -96.366402 28.72685900000001, -96.392446 28.73968899999999, -96.44014 28.73133800000001, -96.580085 28.66381000000002, -96.621552 28.632467000000005, -96.631468 28.60655400000001, -96.621653 28.584268999999992)"
corpusChristi,laredo,"LINESTRING (-97.403232 27.7634, -97.44027 27.786034999999977, -97.634022 27.783285000000003, -97.654411 27.785837, -97.658936 27.798756999999984, -97.766255 27.811462000000017, -97.933626 27.777179000000018, -98.021236 27.780939000000004, -98.064711 27.750917000000005, -98.088948 27.746095, -98.202611 27.755993, -98.402419 27.801681000000002, -98.583859 27.882502000000002, -98.638645 27.882422000000002, -98.747724 27.843598999999998, -98.79900600000002 27.794386999999997, -98.984831 27.714653, -99.160462 27.658484000000016, -99.261651 27.595745000000008, -99.395583 27.560116999999998, -99.433675 27.52849499999999, -99.492709 27.53058, -99.496852 27.52370100000001)"
odessa,amarillo,"LINESTRING (-102.367677 31.845699999999972, -102.30900300000002 31.87465500000001, -102.25021600000001 32.022586999999994, -102.096309 32.096484000000004, -102.172399 32.329275000000024, -101.926992 32.707264, -101.951296 32.750062000000014, -101.806676 33.007162999999984, -101.853573 34.04508499999999, -101.749942 34.12942099999998, -101.70835900000002 34.23809599999999, -101.847196 34.721329000000004, -101.848739 34.943046999999986, -101.918662 35.02407700000003, -101.908786 35.11801300000002, -101.833821 35.207234)"
odessa,midland,"LINESTRING (-102.367677 31.845699999999972, -102.35519500000001 31.827763000000015, -102.343584 31.83098699999999, -102.306591 31.86355500000001, -102.26455700000001 31.886003999999996, -102.119642 31.96085000000001, -102.073768 31.971726000000032, -102.07765100000002 31.98405, -102.07795 31.997434000000005)"
killeen,waco,"LINESTRING (-97.727839 31.11700699999999, -97.68886600000002 31.095563999999996, -97.617174 31.079767999999998, -97.555058 31.05538799999999, -97.510689 31.055366999999997, -97.468322 31.045815000000008, -97.435662 31.060854999999986, -97.407167 31.084183999999986, -97.362988 31.098593000000015, -97.351779 31.121295000000003, -97.333521 31.129633000000002, -97.30054900000002 31.212805000000003, -97.22536 31.332340999999992, -97.205883 31.40124299999998, -97.129361 31.53476699999998, -97.146778 31.549416999999995)"
brownsville,mcallen,"LINESTRING (-97.488956 25.913883999999996, -97.491375 25.928610999999993, -97.503817 25.94335700000003, -97.529473 26.003028000000015, -97.534532 26.031371999999994, -97.563704 26.058078999999996, -97.60253 26.1082, -97.629983 26.121926000000016, -97.717925 26.188427999999995, -97.77545 26.186896999999988, -97.818216 26.16597, -97.904587 26.158803999999996, -97.935287 26.151366999999997, -97.980402 26.172547999999995, -98.014823 26.172917000000005, -98.143363 26.194299, -98.162518 26.204067999999996, -98.187456 26.207567000000008, -98.204107 26.198585000000005, -98.230081 26.204024999999994)"
deerPark,houston,"LINESTRING (-95.123815 29.70522800000001, -95.123964 29.711716000000013, -95.19093 29.713045, -95.22215 29.710016999999986, -95.228816 29.70750499999999, -95.244186 29.70606399999998, -95.267123 29.709380999999997, -95.283183 29.699239, -95.288644 29.698130000000013, -95.358333 29.742686999999997, -95.373008 29.750573000000003, -95.374511 29.752880000000008, -95.374602 29.75761200000001, -95.372097 29.76359800000001, -95.367184 29.76053799999999, -95.36786300000001 29.758731)"
laPorte,leagueCity,"LINESTRING (-95.01933 29.665777000000006, -95.029764 29.66528400000001, -95.02987 29.63690399999999, -95.034418 29.623294000000012, -95.032 29.603329000000006, -95.029406 29.59428199999999, -95.02966900000001 29.58476499999999, -95.026146 29.563416000000004, -95.022211 29.54537600000001, -95.018346 29.53808499999999, -95.027473 29.531466, -95.043935 29.52706700000002, -95.07641 29.52300699999998, -95.094971 29.507551999999986)"
