startHub,endHub,road_geometry
eloyL,willcoxL,"LINESTRING (-111.671912 32.80627299999999, -111.554742 32.736989, -111.511371 32.722304, -111.379395 32.63790500000001, -111.261688 32.494445, -111.125938 32.39704400000001, -111.055813 32.326996, -110.986479 32.241912, -110.973913 32.189281, -110.900508 32.152315, -110.884639 32.131082, -110.67972400000001 32.00124699999999, -110.448801 31.962895000000017, -110.351658 31.963353000000012, -110.30727 31.978387999999995, -110.248278 31.966934999999975, -110.115536 32.01739200000001, -110.03824 32.09063999999998, -109.994747 32.14810900000002, -109.883889 32.21549, -109.84732700000002 32.26712899999999)"
amarillo,lubbock,"LINESTRING (-101.833821 35.20723400000001, -101.841308 35.178548000000035, -101.909065 35.118060000000014, -101.918975 35.024045000000015, -101.849058 34.94286700000001, -101.84751 34.721274999999984, -101.793757 34.57995600000001, -101.776662 34.38321599999999, -101.708702 34.237741000000014, -101.749716 34.196699, -101.750388 34.129303, -101.853494 34.047069000000015, -101.835599 33.62858800000001, -101.855367 33.563323, -101.879121 33.56352399999999)"
sanAntonio1L,sanAntonio,"LINESTRING (-98.61770100000001 29.310896999999986, -98.61577 29.309637000000006, -98.604718 29.319860999999992, -98.597474 29.324363, -98.557135 29.340986, -98.550017 29.342278999999998, -98.544789 29.346018000000004, -98.528266 29.353888999999985, -98.513826 29.376661000000002, -98.51124 29.394476000000004, -98.511661 29.402398999999992, -98.508323 29.410435000000007, -98.502648 29.415233999999973, -98.498846 29.420967, -98.496466 29.419953000000024, -98.495383 29.42453)"
sanJacinto,clevelandL,"LINESTRING (-95.19257100000002 30.509218000000004, -95.193455 30.506957, -95.190253 30.50221400000002, -95.189517 30.494348999999982, -95.183374 30.490217000000012, -95.183674 30.486670999999998, -95.186713 30.486641, -95.190415 30.484123000000004, -95.194684 30.483160000000026, -95.192203 30.481030999999987, -95.185225 30.46437600000001, -95.172211 30.444982999999997, -95.151493 30.428628999999994, -95.137882 30.422733999999995, -95.132922 30.424864000000007, -95.116388 30.425356000000004, -95.108709 30.405116999999997, -95.106512 30.402781999999995, -95.105104 30.395777000000006, -95.102808 30.393012, -95.098278 30.374598000000027, -95.094072 30.36847400000001, -95.093563 30.361828000000003, -95.090395 30.356210999999988, -95.091274 30.354906000000003)"
rockwallL,dallas,"LINESTRING (-96.41912200000002 32.91820400000001, -96.418906 32.91989399999999, -96.44540899999998 32.91303400000002, -96.459253 32.90041600000001, -96.481342 32.89375499999999, -96.539028 32.867362, -96.557091 32.855732999999994, -96.611941 32.83353499999998, -96.64063 32.816655, -96.67709 32.799641000000015, -96.69864 32.79417699999999, -96.718336 32.79501599999999, -96.730696 32.79178800000002, -96.759976 32.790787, -96.77179 32.781109000000015, -96.780271 32.779938999999985, -96.792674 32.77403700000001, -96.796749 32.77594500000001)"
tyler,dallas,"LINESTRING (-95.300641 32.35126300000002, -95.301288 32.35963999999999, -95.331912 32.370546999999995, -95.333199 32.386825, -95.387661 32.46888800000002, -95.460475 32.470536, -95.68708 32.51478199999999, -95.902654 32.59769900000002, -96.271644 32.700192999999985, -96.358899 32.739709000000005, -96.447103 32.742281999999996, -96.493718 32.77285100000001, -96.676544 32.799724999999995, -96.759976 32.790787, -96.796749 32.77594500000001)"
channelview,deerPark,"LINESTRING (-95.114654 29.776139999999998, -95.113913 29.776148000000003, -95.114666 29.777071000000028, -95.12435 29.776978000000007, -95.12438 29.77849000000001, -95.149442 29.772369, -95.151037 29.77151800000001, -95.151763 29.770079, -95.151248 29.768266000000015, -95.14815099999998 29.764667, -95.146479 29.760318999999996, -95.14575500000001 29.739862999999993, -95.147905 29.721787000000006, -95.148792 29.719996999999992, -95.153406 29.714807999999994, -95.153795 29.711620999999987, -95.12408 29.711127000000005, -95.123815 29.705227999999977)"
baytown,deerParkL,"LINESTRING (-94.97759300000001 29.735551000000005, -94.978437 29.73491499999999, -94.978189 29.733648, -94.979079 29.732608999999993, -94.978397 29.726574, -94.979524 29.720211000000003, -94.985916 29.72159699999998, -94.992116 29.723902999999996, -94.994328 29.720580999999985, -95.000666 29.714121, -95.013978 29.70607800000001, -95.027493 29.695041000000007, -95.031322 29.689281999999995, -95.032601 29.688522000000006, -95.036619 29.688070000000014, -95.04058700000002 29.688584000000002, -95.084635 29.702027000000008, -95.090918 29.704289000000003, -95.09206 29.70658899999999, -95.091827 29.707583000000007, -95.092383 29.707668999999996, -95.092683 29.706924999999995)"
sanAntonio3L,sanAntonio,"LINESTRING (-98.61770100000001 29.310896999999986, -98.61577 29.309637000000006, -98.604718 29.319860999999992, -98.597474 29.324363, -98.557135 29.340986, -98.550017 29.342278999999998, -98.544789 29.346018000000004, -98.528266 29.353888999999985, -98.513826 29.376661000000002, -98.51124 29.394476000000004, -98.511661 29.402398999999992, -98.508323 29.410435000000007, -98.502648 29.415233999999973, -98.498846 29.420967, -98.496466 29.419953000000024, -98.495383 29.42453)"
elPasoL,anthonyL,"LINESTRING (-106.237254 31.659562000000008, -106.325453 31.740342000000002, -106.371134 31.768700999999986, -106.399588 31.781889999999994, -106.413955 31.781676999999984, -106.423239 31.77752500000002, -106.462987 31.778137999999988, -106.49593 31.759509, -106.503553 31.760721999999983, -106.516994 31.778821000000004, -106.522793 31.806720000000013, -106.527404 31.80929900000002, -106.545262 31.81097500000002, -106.567574 31.833696, -106.572826 31.846601000000003, -106.582674 31.887387999999998, -106.58122 31.998044999999998)"
