startHub,endHub,road_geometry
orange,portArthur,"LINESTRING (-93.903742 30.12259999999999, -93.90785 30.120614999999997, -93.907918 30.116494999999993, -93.907351 30.105180000000015, -93.903551 30.105051000000014, -93.905346 30.09852899999999, -93.902787 30.051645999999984, -93.888805 30.03957899999999, -93.869527 30.039482000000007, -93.84597 30.033823000000005, -93.845768 30.021386, -93.86728100000002 29.99952399999998, -93.876798 29.958257999999994, -93.928811 29.89881999999999)"
collegeStation,houston,"LINESTRING (-96.30714 30.595494999999985, -96.292787 30.59387799999999, -96.102192 30.41400399999999, -96.074742 30.40165500000001, -96.067871 30.37622700000001, -96.0246 30.369485000000033, -95.995289 30.35314400000001, -95.965235 30.355318999999984, -95.927175 30.308679999999995, -95.824685 30.293994999999995, -95.779799 30.250812999999983, -95.743302 30.246873999999977, -95.73598400000002 30.22984900000003, -95.679212 30.180034000000006, -95.629289 30.072458999999984, -95.561211 29.970518000000006, -95.46252 29.898242, -95.429342 29.897978, -95.410127 29.873442000000008, -95.37405400000002 29.810058000000016, -95.36786300000001 29.758731)"
midland,elPaso,"LINESTRING (-102.07795 31.997433999999988, -102.074579 31.97302300000003, -102.343346 31.83132, -102.42546300000001 31.816988000000006, -102.609605 31.731053999999986, -102.876536 31.57945699999999, -103.327759 31.475238, -103.398096 31.419713999999992, -103.49842000000001 31.39589000000001, -103.556289 31.406481000000003, -103.741816 31.339833000000024, -103.854305 31.269381000000017, -104.054563 31.092201999999997, -104.159029 31.060793999999998, -104.41374499999999 31.073787000000006, -104.887181 31.036941000000006, -105.48418800000002 31.21768799999997, -105.531173 31.19327, -105.708852 31.177917000000015, -105.92402200000001 31.38126700000002, -106.12071600000002 31.506909999999994, -106.32421 31.739333999999992, -106.400639 31.782184999999995, -106.446515 31.76792900000002, -106.441113 31.786562000000014)"
theWoodlands,houston,"LINESTRING (-95.504517 30.173647000000013, -95.503566 30.164579000000003, -95.486886 30.155214000000008, -95.44926 30.15436700000001, -95.43589 30.10808600000001, -95.437229 30.08113300000001, -95.427856 30.009828000000002, -95.412187 29.934309999999982, -95.411901 29.876857, -95.37405400000002 29.810058000000016, -95.365773 29.769759, -95.372114 29.76194, -95.36786300000001 29.758731)"
centerville,collegeStation,"LINESTRING (-95.97871 31.257822999999995, -95.98926000000002 31.25823200000001, -95.996925 31.210488000000012, -95.976068 31.123495999999992, -95.94341 31.04177800000002, -95.883906 30.965196000000013, -95.979911 30.91339399999999, -96.07269800000002 30.922623000000012, -96.08341 30.91757799999998, -96.098944 30.91873999999999, -96.170104 30.888829999999984, -96.20419 30.859334000000008, -96.223372 30.82410000000001, -96.263874 30.782857, -96.321895 30.737340000000014, -96.359786 30.695934999999995, -96.327211 30.662805999999996, -96.293691 30.615810000000014, -96.29075700000001 30.60359700000002, -96.297257 30.604020000000016, -96.30714 30.595494999999985)"
tyler,dallas,"LINESTRING (-95.300641 32.35126300000002, -95.301288 32.35963999999999, -95.331912 32.370546999999995, -95.333199 32.386825, -95.387661 32.46888800000002, -95.460475 32.470536, -95.68708 32.51478199999999, -95.902654 32.59769900000002, -96.271644 32.700192999999985, -96.358899 32.739709000000005, -96.447103 32.742281999999996, -96.493718 32.77285100000001, -96.676544 32.799724999999995, -96.759976 32.790787, -96.796749 32.77594500000001)"
laPorte,sanJacinto,"LINESTRING (-95.01933 29.665777, -95.028802 29.665367999999987, -95.031681 29.688169, -95.152884 29.71255799999999, -95.146206 29.76038500000002, -95.20251299999998 29.889436000000014, -95.200868 29.927184, -95.293959 29.94201900000001, -95.225816 30.139103000000016, -95.111687 30.304165000000022, -95.089401 30.352276000000007, -95.116388 30.425356000000004, -95.151493 30.428628999999994, -95.185225 30.46437600000001, -95.19257100000002 30.509218000000004)"
abilene,sanAngelo,"LINESTRING (-99.747886 32.446452, -99.748103 32.43216299999999, -99.78203000000002 32.430775, -99.89039100000001 32.338912999999984, -99.922729 32.28573600000002, -100.04805 32.22053499999999, -100.086708 32.18166000000002, -100.126983 32.097184, -100.20827 32.07057199999999, -100.278543 32.013168, -100.277107 31.938759000000022, -100.292538 31.881456999999987, -100.285593 31.738744999999984, -100.368484 31.575791000000013, -100.371561 31.500656, -100.38844100000001 31.479564, -100.42981 31.475402999999993, -100.440481 31.46492500000002)"
odessa,sanAngelo,"LINESTRING (-102.367677 31.845700000000004, -102.35519500000001 31.827763, -102.344116 31.830761, -102.304 31.86518999999999, -102.120753 31.96032100000001, -102.03744 31.982312999999994, -101.62028400000001 31.863909000000007, -101.473314 31.86542100000001, -101.376729 31.84760799999999, -101.306039 31.807080000000006, -101.267785 31.801197000000002, -101.220018 31.804913, -101.150802 31.848784999999996, -101.108077 31.857354000000022, -101.039982 31.855608000000014, -101.01781400000002 31.840599000000026, -100.966455 31.834756999999996, -100.924645 31.796411000000003, -100.84169 31.763440999999997, -100.761521 31.684399999999997, -100.714134 31.667897999999987, -100.625439 31.59391299999999, -100.56858700000001 31.566566000000005, -100.501371 31.548145, -100.477967 31.49801100000001, -100.440481 31.46492500000002)"
deerPark,pasadena,"LINESTRING (-95.123815 29.705227999999977, -95.123964 29.71171599999998, -95.130125 29.71184100000001, -95.133591 29.71149600000003, -95.137694 29.711518, -95.190216 29.713066, -95.195325 29.712933999999994, -95.211641 29.711313999999994, -95.211397 29.69140600000001, -95.211269 29.690797999999987, -95.20924800000002 29.690811999999983, -95.209285 29.691066999999993)"
