hubA,hubB,road_geometry
texasCity,laPorte,"LINESTRING (-94.925086 29.392989999999987, -94.931732 29.395207000000003, -94.950621 29.395390999999986, -94.958439 29.410811000000002, -94.972149 29.460355000000003, -95.022016 29.544928000000002, -95.03426900000001 29.623245999999995, -95.029848 29.63603299999999, -95.029509 29.652251000000003, -95.02454 29.65249)"
centerville,texarkana,"LINESTRING (-95.97831 31.25797399999998, -96.020977 31.378471999999995, -96.075227 31.452092000000004, -95.846569 31.586297999999992, -95.806418 31.64326700000001, -95.763961 31.654358999999992, -95.62964 31.771231000000014, -95.547005 31.898280999999997, -95.479751 32.139194999999994, -95.33614700000001 32.306193, -95.342201 32.376735999999994, -95.275508 32.38759400000001, -95.207366 32.424350999999994, -95.151258 32.5568, -94.944891 32.711754, -94.870788 32.81148700000002, -94.55405500000002 32.89375999999999, -94.183398 33.111077999999985, -94.151162 33.15614, -94.150127 33.336318000000006, -94.048266 33.425574)"
pasadena,channelview,"LINESTRING (-95.19548 29.69088599999997, -95.193283 29.691588000000007, -95.171204 29.69178299999998, -95.17141 29.712121, -95.153064 29.711623000000003, -95.151918 29.716019, -95.147824 29.721760999999994, -95.145597 29.740640999999997, -95.146214 29.760394999999992, -95.147929 29.764893999999995, -95.151783 29.770322999999998, -95.151548 29.771048000000008, -95.124559 29.777738999999997, -95.124506 29.776973000000016, -95.114206 29.776708000000017, -95.11203400000001 29.77785700000001)"
laPorte,montBelvieu,"LINESTRING (-95.02454 29.65249, -95.029515 29.652402000000002, -95.02883 29.693179999999995, -94.993212 29.721076999999998, -94.991303 29.725768999999982, -94.99428 29.734893999999983, -94.984279 29.74834900000002, -94.956488 29.751440999999993, -94.929791 29.757050000000003, -94.924828 29.760000999999992, -94.913999 29.773832000000006, -94.89492 29.83619399999999, -94.895436 29.847546999999995, -94.890994 29.84791900000001, -94.89192 29.850306999999994)"
sanJacinto,freeport,"LINESTRING (-94.783122 29.29613400000001, -94.782571 29.294420999999996, -94.80474 29.278998999999985, -94.861482 29.246302000000004, -94.88813000000002 29.236191000000016, -94.902231 29.224331000000014, -94.941944 29.206085999999996, -94.969805 29.18475199999999, -95.081666 29.113655999999988, -95.089206 29.112245999999995, -95.104962 29.100052000000005, -95.127776 29.07667, -95.129621 29.069322999999994, -95.138029 29.061600999999992, -95.223165 29.00300899999999, -95.28721 28.952015999999986, -95.312481 28.970619000000003, -95.337454 28.98192899999999, -95.349376 28.96848099999999, -95.342427 28.957279999999976, -95.344297 28.949728999999984)"
channelview,montBelvieu,"LINESTRING (-95.11203400000001 29.77785700000001, -95.103008 29.782636000000007, -95.095511 29.788342, -95.071687 29.79502700000003, -95.067366 29.795004999999993, -95.057188 29.790772000000015, -95.052601 29.790289, -95.025976 29.799515999999972, -95.009561 29.800248999999983, -94.942094 29.81139600000002, -94.918586 29.821065000000008, -94.899225 29.820888000000014, -94.894756 29.83697400000001, -94.895436 29.847546999999995, -94.890994 29.84791900000001, -94.89192 29.850306999999994)"
elPaso,sonora,"LINESTRING (-106.487465 31.759175999999997, -106.401293 31.782085999999993, -106.325534 31.740192999999998, -106.120807 31.506190000000004, -105.707856 31.177413999999985, -105.484449 31.217500000000012, -104.88752800000002 31.036633000000005, -104.048558 31.08909800000002, -103.84931000000002 31.006424000000013, -103.064392 30.900927, -102.55015 30.860654999999984, -102.162879 30.89148299999998, -101.797363 30.714255999999995, -101.693813 30.747282000000013, -101.326833 30.677193000000006, -101.160515 30.71018900000002, -100.644136 30.56729600000001)"
waco,abilene,"LINESTRING (-97.149504 31.571826, -97.186333 31.55360700000001, -97.211731 31.521299999999993, -97.265146 31.54169400000001, -97.290903 31.575686999999988, -97.522439 31.677046, -97.580458 31.788952999999978, -97.614797 31.815535000000022, -97.647954 31.89641500000001, -97.716239 31.94339200000002, -97.86565 31.983037999999997, -98.034306 31.983302, -98.080579 32.029994000000016, -98.107199 32.096463, -98.281809 32.33925700000004, -98.321845 32.356057000000014, -98.33726000000001 32.37541800000002, -98.360316 32.439071, -98.36783800000002 32.515267999999985, -98.533033 32.497975999999994, -98.622106 32.47574299999999, -98.643207 32.45892800000001, -98.83475100000001 32.375643000000004, -99.144677 32.37994300000001, -99.214067 32.37034800000001, -99.39227 32.403507999999995, -99.74142 32.44917499999999)"
sonora,vanHorn,"LINESTRING (-100.644136 30.56729600000001, -100.747561 30.616373999999993, -100.835021 30.620815999999987, -101.158638 30.710313000000003, -101.329652 30.67764900000001, -101.69548600000002 30.747569000000002, -101.796244 30.71422600000001, -101.939348 30.767099999999992, -102.009591 30.826544000000027, -102.162948 30.891977000000004, -102.36177 30.895888, -102.550664 30.860952999999977, -102.87642 30.90716600000002, -103.06424 30.901260999999998, -103.742154 31.008580000000006, -103.848982 31.00673200000001, -104.054318 31.090340000000015, -104.159029 31.060793999999998, -104.413745 31.073787000000006, -104.830842 31.04194099999997)"
texasCity,freeport,"LINESTRING (-94.925086 29.392989999999987, -94.951588 29.395390999999986, -94.94639700000002 29.358405000000005, -95.00929 29.357180999999997, -95.016174 29.34837900000001, -95.030534 29.35269700000001, -95.061128 29.321274000000003, -95.105921 29.30942399999999, -95.252425 29.17470999999999, -95.259686 29.142078000000005, -95.242562 29.128163000000008, -95.341816 29.048307000000005, -95.327637 29.028907999999994, -95.328031 28.998159000000012, -95.349376 28.96848099999999, -95.342427 28.957279999999976, -95.344297 28.949728999999984)"
texarkana,beaumont,"LINESTRING (-94.048266 33.425574, -94.150606 33.33561399999999, -94.16386 33.135574, -94.351227 33.01506199999999, -94.373494 32.935577, -94.340543 32.16599900000003, -94.231976 31.970839000000005, -94.126172 31.482980000000037, -93.994089 31.29268799999998, -93.996615 30.914866000000014, -93.89255 30.675932000000003, -93.970011 30.44043999999999, -94.187227 30.309197000000008, -94.179006 30.146676999999997, -94.10135 30.086139000000006)"
montBelvieu,portArthur,"LINESTRING (-94.89192 29.850306999999994, -94.87903000000001 29.850500000000007, -94.841961 29.868033000000022, -94.820686 29.865682000000007, -94.803147 29.829819000000004, -94.756377 29.838578000000002, -94.677069 29.840567000000004, -94.44031 29.826977000000003, -94.23869600000002 29.825971000000024, -94.084365 29.859375999999994, -94.040023 29.888692000000024, -93.990293 29.882136000000003, -93.95666200000001 29.916245000000014, -93.929494 29.899396000000014)"
deerPark,montBelvieu,"LINESTRING (-95.11678 29.689660000000007, -95.098588 29.689983999999985, -95.098705 29.695172000000003, -95.093029 29.695258, -95.093197 29.704102999999982, -95.040626 29.688415999999993, -95.031555 29.688321, -95.027182 29.695037000000003, -95.012536 29.706912999999993, -94.99967 29.714554000000007, -94.992971 29.721376000000003, -94.991303 29.725768999999982, -94.99428 29.734893999999983, -94.984279 29.74834900000002, -94.980065 29.749832999999995, -94.956488 29.751440999999993, -94.942576 29.755219, -94.929791 29.757050000000003, -94.925278 29.759563000000004, -94.913999 29.773832000000006, -94.91052700000002 29.79027200000003, -94.904625 29.80062700000002, -94.89492 29.83619399999999, -94.895436 29.847546999999995, -94.890994 29.84791900000001, -94.89192 29.850306999999994)"
mcallen,sanAntonio,"LINESTRING (-98.229338 26.207703999999993, -98.180803 26.21167500000001, -98.150541 26.277923000000012, -98.098535 26.768928000000006, -98.150291 27.157289, -98.078712 27.69284000000001, -98.110387 27.734325000000002, -98.083117 27.81389800000002, -98.114218 28.327286000000004, -98.299234 28.762277, -98.434154 28.911063000000006, -98.394903 29.298663, -98.494636 29.424580999999986)"
abilene,sonora,"LINESTRING (-99.74142 32.44917499999999, -99.78723 32.452404, -99.786722 32.42600799999999, -99.890747 32.338551, -99.92054 32.28768500000001, -100.085663 32.182975, -100.12671 32.09741199999997, -100.20827 32.070572, -100.278695 32.012883, -100.285593 31.738744999999998, -100.368484 31.575791, -100.372146 31.49963900000001, -100.389458 31.479047000000012, -100.447378 31.467491999999996, -100.433853 31.355632, -100.511358 31.172370999999995, -100.512624 31.05848299999999, -100.573328 30.986897000000003, -100.585301 30.879841000000003, -100.621655 30.837495000000008, -100.644136 30.56729600000001)"
montBelvieu,beaumont,"LINESTRING (-94.89192 29.850306999999994, -94.87903000000001 29.850500000000007, -94.841961 29.868033000000022, -94.820686 29.865682000000007, -94.803147 29.829819000000004, -94.756377 29.838578000000002, -94.680162 29.840583999999996, -94.44031 29.826977000000003, -94.391734 29.827839, -94.246441 29.949623, -94.13746 30.05720800000001, -94.133988 30.067969000000016, -94.110619 30.06862199999999, -94.096136 30.079645000000006, -94.10135 30.086139000000006)"
